Feature,Mean |SHAP value|
us_aqi,38.92492622589426
pm2_5,5.232494861082056
day_of_month,4.7510476628721054
aqi_rolling_std_24h,4.614049147575474
pm2_5_lag_24h,3.7116720823328464
sulphur_dioxide,3.3033381154024153
pm2_5_rolling_mean_24h,2.077807882955624
pm2_5_to_pm10_ratio,1.960180346148978
aqi_rolling_min_12h,1.375551757416112
aqi_momentum_6h,1.232367160611645
total_particulates,1.1159656706363932
aqi_change_1h,0.8706906345025626
pm10,0.8236969009578693
aqi_lag_24h,0.28305777470734095
pm2_5_rolling_std_24h,0.25179128350466723
